id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
580,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,94,Chemistry,Chemistry,5,24,5,20,5,16
580,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,101,Life Science,Bio Science,0,0,0,0,0,0
464,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,174,Mathematics,Mathematics,19,22,13,14,0,0
464,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,82,Physical Education,Physical Education,1,4,1,4,0,0
138,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,82,Physical Education,physical education,0,0,0,0,0,0
138,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,94,Chemistry,Chemistry,1,6,1,6,0,0
138,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,46,Sanskrit,Sanskrit,0,0,0,0,0,0
138,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,31,English,English,0,0,0,0,0,0
303,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,109,Economics,Economics Agricultural Economics Population Studies,NA,NA,4,7,NA,NA
636,2015,Regular,Integrated,188,Integrated M.Sc.-Integrated Master of Science,107,Other Science,FOODPROCESSING AND TECHNOLOGY,0,0,0,0,0,0
636,2015,Regular,Post Graduate,93,M.Com.-Master of Commerce,9,Commerce,Commerce,0,0,0,0,0,0
636,2015,Regular,Under Graduate,54,B.H.M.-Bachelor of Hotel Management,57,Hotel Management,HOTEL MANAGEMENT,0,0,0,0,0,0
778,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,19,Electrical Engineering,B.Tech,0,0,0,0,0,0
778,2015,Regular,Diploma,82,Diploma-Diploma,16,Civil Engineering,Diploma Engineering,0,0,0,0,0,0
778,2015,Regular,Integrated,35,"B.Tech M.Tech-Bachelor of Technology, Master of Technology",16,Civil Engineering,Integrated M.Tech,0,0,0,0,0,0
778,2015,Regular,Diploma,82,Diploma-Diploma,23,Mechanical Engineering,Diploma Engineering,0,0,0,0,0,0
778,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,23,Mechanical Engineering,B.Tech,0,0,0,0,0,0
