id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
578,2015,Distance,Diploma,82,Diploma-Diploma,12,Education,Diploma In Pre-Primary Teachers Training,0,0,0,0,0,0
578,2015,Distance,Certificate,76,Certificate-Certificate,31,English,English for Communication,0,0,0,0,0,0
578,2015,Distance,PG Diploma,155,PG Diploma-Post Graduate Diploma,163,Physiology,PG Diploma In Psychological Counselling,20,27,13,17,9,9
578,2015,Distance,Under Graduate,12,B.Com.-Bachelor of Commerce,9,Commerce,Commerce,35,269,33,244,3,13
578,2015,Distance,Diploma,82,Diploma-Diploma,83,Yoga,Diploma In Sports and Competitive Yoga,15,61,15,61,15,61
578,2015,Distance,Post Graduate,124,M.A.-Master of Arts,12,Education,Education,26,97,25,90,7,17
578,2015,Distance,Certificate,76,Certificate-Certificate,179,Cultural Studies,Human Rights,0,0,0,0,0,0
578,2015,Distance,Diploma,82,Diploma-Diploma,59,Tourism Management,Diploma In Travel and Tourisim,7,22,7,22,5,13
578,2015,Distance,Certificate,76,Certificate-Certificate,180,Design,Tailoring And Dress Designing,107,165,94,147,92,145
578,2015,Distance,Under Graduate,20,B.Lib.Sc.-Bachelor of Library Science,53,Library & Information Science,BLIS,558,1074,440,768,183,257
578,2015,Distance,Post Graduate,111,M.Sc.-Master of Science,106,Zoology,Zoology,34,51,33,50,26,36
578,2015,Distance,Post Graduate,124,M.A.-Master of Arts,112,Political Science,Political Science,66,112,53,92,4,7
578,2015,Distance,Under Graduate,17,B.Ed.-Bachelor of Education,12,Education,Special B.Ed. (SEDE),0,0,0,0,0,0
494,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,20,Electronics Engineering,Science,7,30,7,30,7,30
494,2015,Regular,Post Graduate,126,M.B.A.- Master of Business Administration,133,Business Administration,Management,4,6,4,6,4,6
494,2015,Regular,Under Graduate,43,B.B.A.-Bachelor of Business Administration,133,Business Administration,Management,13,51,13,51,11,32
494,2015,Regular,Post Graduate,124,M.A.-Master of Arts,12,Education,Education,0,0,0,0,0,0
494,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,16,Civil Engineering,Science,8,40,8,40,8,39
494,2015,Regular,Post Graduate,130,M.C.A. -Master of Computer Applications,183,Computer Application,IT & Computer,8,11,8,11,8,11
494,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,23,Mechanical Engineering,Sciience,0,0,0,0,0,0
494,2015,Regular,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,183,Computer Application,Computer Application,5,14,5,12,5,12
378,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,116,Other Social Science,Humanities,0,0,0,0,0,0
378,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,104,Physics,Physics,0,0,0,0,0,0
378,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,174,Mathematics,Mathematics,0,0,0,0,0,0
378,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,23,Mechanical Engineering,Mechanical Engineering,1,40,1,40,1,40
378,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,104,Physics,Physics,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,78,Other Medical Science,OBST. & Gynae,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,143,Bio-Chemistry,Bio-chemistry,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,67,Dermatology,PSM,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,69,General Surgery,General Surgery,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,148,ENT,ENT,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,76,Pharmacy,Pharmacology,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,73,Orthopaedics,Orthopaedics,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,24,Metallurgical Engineering,Nanoscience & Nanotechnology,0,0,0,0,0,0
57,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,24,Metallurgical Engineering,Nanoscience & Nanotechnology,0,0,0,0,0,0
57,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,107,Other Science,Nanoscience & Nanotechnology,0,0,0,0,0,0
57,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,12,Education,Education,0,0,0,0,0,0
354,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,104,Physics,PHYSICS,9,16,9,16,7,14
354,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,94,Chemistry,CHEMISTRY,10,17,10,17,10,17
354,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,146,Bio-Technology,BIOTECHNOLOGY,9,10,9,9,9,9
354,2015,Regular,Post Graduate,89,L.L.M.-Master of Law or Laws,52,Law,LAW,12,32,12,32,12,32
354,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,107,Other Science,SCIENCE,1,8,1,8,1,8
354,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,44,Odiya,ODIA,6,8,6,8,6,8
354,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,26,Other Engineering & Technology,BIOTECHNOLOGY,0,0,0,0,0,0
354,2015,Regular,Post Graduate,124,M.A.-Master of Arts,115,Sociology,POPULATION STUDIES,6,7,6,6,5,5
354,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,111,History,HISTORY,0,0,0,0,0,0
354,2015,Regular,Post Graduate,124,M.A.-Master of Arts,8,Area Studies,SOCIAL WORK,17,20,16,19,9,10
354,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,116,Other Social Science,POPULATION STUDIES,5,8,5,8,5,8
354,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,146,Bio-Technology,BIOTECHNOLOGY,0,0,0,0,0,0
354,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,8,Area Studies,GEOGRAPHY,0,0,0,0,0,0
354,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,133,Business Administration,BUSINESS ADMINISTRATION,0,0,0,0,0,0
354,2015,Distance,Diploma,197,D.Voc.-Diploma in Vocational Education,12,Education,Family Education,2,4,2,4,2,4
354,2015,Distance,Post Graduate,102,M.Lib.Sc. -Master of Library Science,53,Library & Information Science,Library Science,51,132,50,127,45,115
354,2015,Distance,Under Graduate,20,B.Lib.Sc.-Bachelor of Library Science,53,Library & Information Science,Library science,70,184,62,166,52,150
354,2015,Distance,Post Graduate,124,M.A.-Master of Arts,8,Area Studies,History,11,23,10,18,8,15
354,2015,Distance,Post Graduate,130,M.C.A. -Master of Computer Applications,183,Computer Application,Computer Application,16,73,16,70,14,65
354,2015,Distance,Post Graduate,124,M.A.-Master of Arts,12,Education,Education,0,0,0,0,0,0
354,2015,Distance,Post Graduate,124,M.A.-Master of Arts,46,Sanskrit,Sanskrit,0,0,0,0,0,0
354,2015,Distance,Post Graduate,124,M.A.-Master of Arts,31,English,English,0,0,0,0,0,0
354,2015,Distance,Post Graduate,93,M.Com.-Master of Commerce,9,Commerce,Commerce,0,0,0,0,0,0
354,2015,Distance,Under Graduate,6,B.A.-Bachelor of Arts,178,Arts,Arts,0,0,0,0,0,0
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,143,Bio-Chemistry,Bio-Chemistry,22,38,21,36,21,34
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,93,Botany,Botany,15,21,14,17,13,15
218,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,107,Other Science,Food Technology,12,26,12,25,12,25
